f[Hz]	Sxx[m^2/Hz]
84.8	9.95745E-20
84.9	1.12165E-19
85	5.3973E-20
85.1	3.47577E-20
85.2	5.24662E-20
85.3	6.61385E-20
85.4	6.21279E-20
85.5	3.503E-20
85.6	5.94993E-20
85.7	1.02562E-19
85.8	6.15267E-20
85.9	3.52651E-20
86	5.30319E-20
86.1	5.69814E-20
86.2	6.08676E-20
86.3	7.90162E-20
86.4	4.2377E-20
86.5	1.05356E-19
86.6	7.34797E-20
86.7	3.17754E-20
86.8	3.59682E-20
86.9	6.10205E-20
87	5.83841E-20
87.1	6.76701E-20
87.2	7.35552E-20
87.3	7.14024E-20
87.4	5.33043E-20
87.5	7.26845E-20
87.6	7.58952E-20
87.7	4.17745E-20
87.8	8.18515E-20
87.9	6.23994E-20
88	5.66371E-20
88.1	7.5002E-20
88.2	1.71597E-19
88.3	6.09746E-20
88.4	5.07596E-20
88.5	5.34474E-20
88.6	3.45556E-20
88.7	5.39155E-20
88.8	8.10683E-20
88.9	5.60098E-20
89	4.98517E-20
89.1	8.00647E-20
89.2	6.91402E-20
89.3	1.27796E-19
89.4	6.60407E-20
89.5	4.11952E-20
89.6	7.61525E-20
89.7	1.16485E-19
89.8	8.91626E-20
89.9	5.69207E-20
90	6.93676E-20
90.1	8.06769E-20
90.2	5.21237E-20
90.3	5.73415E-20
90.4	7.99641E-20
90.5	5.00959E-20
90.6	3.94968E-20
90.7	7.67363E-20
90.8	3.91097E-20
90.9	5.31766E-20
91	6.84823E-20
91.1	5.72305E-20
91.2	4.10827E-20
91.3	6.39568E-20
91.4	9.4782E-20
91.5	6.82065E-20
91.6	8.35592E-20
91.7	9.83526E-20
91.8	7.25557E-20
91.9	1.08379E-19
92	7.92877E-20
92.1	7.88938E-20
92.2	5.4245E-20
92.3	1.13996E-19
92.4	7.29211E-20
92.5	8.35817E-20
92.6	4.66484E-20
92.7	7.69775E-20
92.8	5.63395E-20
92.9	6.5549E-20
93	5.62932E-20
93.1	8.46612E-20
93.2	8.57765E-20
93.3	8.57593E-20
93.4	6.48475E-20
93.5	7.04284E-20
93.6	8.82859E-20
93.7	1.12021E-19
93.8	3.08789E-20
93.9	7.50642E-20
94	9.30494E-20
94.1	3.79344E-20
94.2	6.76131E-20
94.3	1.53047E-19
94.4	4.18661E-20
94.5	6.66E-20
94.6	4.76412E-20
94.7	9.40099E-20
94.8	3.52466E-20
94.9	8.7203E-20
95	1.48543E-19
95.1	5.58513E-20
95.2	9.64658E-20
95.3	5.94082E-20
95.4	4.81175E-20
95.5	6.63355E-20
95.6	5.92807E-20
95.7	5.60013E-20
95.8	8.61665E-20
95.9	8.64514E-20
96	5.55996E-20
96.1	6.94583E-20
96.2	6.28299E-20
96.3	8.01108E-20
96.4	1.00287E-19
96.5	2.93189E-20
96.6	6.26282E-20
96.7	1.33952E-19
96.8	7.61998E-20
96.9	6.54246E-20
97	5.38298E-20
97.1	3.80809E-20
97.2	4.76432E-20
97.3	5.74425E-20
97.4	1.0323E-19
97.5	7.1066E-20
97.6	6.55469E-20
97.7	6.89729E-20
97.8	1.0406E-19
97.9	2.70288E-20
98	9.15822E-20
98.1	5.94319E-20
98.2	6.05594E-20
98.3	5.73781E-20
98.4	8.18511E-20
98.5	3.25077E-20
98.6	6.67841E-20
98.7	5.07787E-20
98.8	2.46852E-20
98.9	6.54708E-20
99	8.04839E-20
99.1	7.8254E-20
99.2	1.4401E-19
99.3	7.40675E-20
99.4	5.70268E-20
99.5	5.88299E-20
99.6	8.48346E-20
99.7	9.95172E-20
99.8	4.90714E-20
99.9	4.42696E-20
100	3.51491E-20
100.1	6.69494E-20
100.2	6.75234E-20
100.3	1.03097E-19
100.4	1.14962E-19
100.5	5.036E-20
100.6	7.07501E-20
100.7	7.16779E-20
100.8	1.13587E-19
100.9	5.2318E-20
101	3.59718E-20
101.1	9.52916E-20
101.2	4.23713E-20
101.3	1.13232E-19
101.4	9.16477E-20
101.5	9.00714E-20
101.6	3.59188E-20
101.7	3.9406E-20
101.8	3.90577E-20
101.9	8.09357E-20
102	9.41332E-20
102.1	4.11202E-20
102.2	7.8711E-20
102.3	5.95595E-20
102.4	5.99511E-20
102.5	1.25298E-19
102.6	5.78128E-20
102.7	6.16148E-20
102.8	4.58985E-20
102.9	7.91234E-20
103	7.70657E-20
103.1	5.50897E-20
103.2	6.78241E-20
103.3	9.29758E-20
103.4	4.83108E-20
103.5	2.89688E-20
103.6	7.41388E-20
103.7	1.17837E-19
103.8	4.36864E-20
103.9	3.70266E-20
104	5.87097E-20
104.1	7.08002E-20
104.2	6.69712E-20
104.3	8.09208E-20
104.4	7.74514E-20
104.5	1.33713E-19
104.6	4.02192E-20
104.7	1.2585E-19
104.8	3.4951E-20
104.9	7.62825E-20
105	7.03014E-20
105.1	4.57832E-20
105.2	7.09503E-20
105.3	3.85345E-20
105.4	6.53723E-20
105.5	1.22616E-19
105.6	5.67562E-20
105.7	6.06445E-20
105.8	1.0388E-19
105.9	3.90039E-20
106	6.13845E-20
106.1	5.11825E-20
106.2	9.20757E-20
106.3	9.07507E-20
106.4	5.51512E-20
106.5	3.96619E-20
106.6	5.69205E-20
106.7	3.74766E-20
106.8	8.50523E-20
106.9	6.55543E-20
107	1.23335E-19
107.1	7.54784E-20
107.2	5.75108E-20
107.3	6.15434E-20
107.4	5.70908E-20
107.5	4.52359E-20
107.6	4.92407E-20
107.7	5.64002E-20
107.8	4.30538E-20
107.9	7.8712E-20
108	7.0064E-20
108.1	5.47863E-20
108.2	4.68882E-20
108.3	3.22538E-20
108.4	5.33397E-20
108.5	8.24928E-20
108.6	6.94735E-20
108.7	1.02508E-19
108.8	5.53851E-20
108.9	5.40948E-20
109	3.98069E-20
109.1	1.3033E-19
109.2	1.00516E-19
109.3	1.32511E-19
109.4	6.99577E-20
109.5	8.35746E-20
109.6	5.71253E-20
109.7	6.5682E-20
109.8	8.74695E-20
109.9	5.53283E-20
110	1.07991E-19
110.1	4.48027E-20
110.2	7.59667E-20
110.3	5.64063E-20
110.4	1.35785E-19
110.5	4.6847E-20
110.6	9.78214E-20
110.7	9.03487E-20
110.8	7.40294E-20
110.9	6.37251E-20
111	5.23976E-20
111.1	3.95853E-20
111.2	1.1455E-19
111.3	9.13814E-20
111.4	6.95381E-20
111.5	9.90617E-20
111.6	9.79534E-20
111.7	5.45414E-20
111.8	3.68527E-20
111.9	5.49934E-20
112	3.62622E-20
112.1	1.25796E-19
112.2	1.5412E-19
112.3	6.51297E-20
112.4	6.26607E-20
112.5	8.21616E-20
112.6	5.78597E-20
112.7	7.5941E-20
112.8	7.67725E-20
112.9	7.63814E-20
113	9.02385E-20
113.1	7.66795E-20
113.2	5.81097E-20
113.3	9.63557E-20
113.4	8.69653E-20
113.5	9.19162E-20
113.6	4.60802E-20
113.7	3.63781E-20
113.8	8.21671E-20
113.9	7.99953E-20
114	1.09398E-19
114.1	3.33483E-20
114.2	5.64376E-20
114.3	8.66683E-20
114.4	5.82554E-20
114.5	4.25969E-20
114.6	7.82669E-20
