t[sec]	x[nm]
0.01827	13.08509
0.0183	21.10322
0.01833	14.95087
0.01837	17.85761
0.0184	10.03718
0.01843	2.01857
0.01847	-4.64569
0.0185	-7.66805
0.01853	-11.7244
0.01857	-11.05236
0.0186	-6.75352
0.01863	-5.3247
0.01867	-0.53183
0.0187	2.24272
0.01873	2.85604
0.01877	-3.74674
0.0188	4.0519
0.01883	7.65593
0.01887	11.85713
0.0189	12.52388
0.01893	8.26808
0.01897	8.75484
0.019	6.76016
0.01903	12.19752
0.01907	5.04911
0.0191	3.87421
0.01913	0.09549
0.01917	-3.49606
0.0192	-1.80213
0.01923	0.47774
0.01927	13.25158
0.0193	14.84509
0.01933	18.72997
0.01937	22.45659
0.0194	21.22648
0.01943	17.9166
0.01947	17.71794
0.0195	20.43814
0.01953	28.1323
0.01957	32.162
0.0196	26.26961
0.01963	27.13912
0.01967	22.26925
0.0197	11.03097
0.01973	14.45603
0.01977	15.78241
0.0198	14.34638
0.01983	5.51412
0.01987	5.87687
0.0199	22.01265
0.01993	23.10159
0.01997	27.504
0.02	19.37443
0.02003	28.88272
0.02007	25.39881
0.0201	24.1084
0.02013	8.79355
0.02017	1.25206
0.0202	11.24623
0.02023	13.16934
0.02027	19.50353
0.0203	14.35119
0.02033	10.52111
0.02037	7.38468
0.0204	0.4085
0.02043	-5.27689
0.02047	-14.59364
0.0205	-10.74018
0.02053	-2.4527
0.02057	4.68565
0.0206	10.19424
0.02063	7.65577
0.02067	7.60297
0.0207	8.02168
0.02073	8.21117
0.02077	8.95447
0.0208	-2.847
0.02083	5.62283
0.02087	3.50758
0.0209	4.96073
0.02093	-2.89159
0.02097	10.23653
0.021	11.49118
0.02103	18.14289
0.02107	18.30271
0.0211	2.90457
0.02113	4.9328
0.02117	12.2658
0.0212	11.91073
0.02123	4.08557
0.02127	-0.49298
0.0213	3.58257
0.02133	-0.49744
0.02137	7.19932
0.0214	4.7886
0.02143	-3.34077
0.02147	5.47669
0.0215	2.22714
0.02153	6.62318
0.02157	-0.37105
0.0216	12.98363
0.02163	3.14679
0.02167	-0.27025
0.0217	-2.33873
0.02173	0.14761
0.02177	6.57403
0.0218	4.59016
0.02183	5.89769
0.02187	2.17708
0.0219	7.23485
0.02193	13.96059
0.02197	15.07692
0.022	15.79214
0.02203	8.07072
0.02207	5.92221
0.0221	6.13013
0.02213	0.9398
0.02217	-1.58289
0.0222	-9.52455
0.02223	-8.74186
0.02227	-0.05377
0.0223	4.62526
0.02233	2.03819
0.02237	8.22596
0.0224	10.01136
0.02243	12.70251
0.02247	3.57426
0.0225	-0.64835
0.02253	-3.98183
0.02257	-0.54172
0.0226	-5.9671
0.02263	-1.80808
0.02267	4.07742
0.0227	5.44819
0.02273	3.22886
0.02277	7.76096
0.0228	2.47828
0.02283	1.70646
0.02287	-5.51612
0.0229	-8.66172
0.02293	-6.77761
0.02297	-2.60624
0.023	4.50566
0.02303	-2.59658
0.02307	0.91505
0.0231	3.35829
0.02313	13.72161
0.02317	3.39194
0.0232	2.74523
0.02323	3.74081
0.02327	4.50721
0.0233	8.35075
0.02333	6.08016
0.02337	6.28887
0.0234	5.46119
0.02343	7.68502
0.02347	-1.25023
0.0235	0.83175
0.02353	10.10014
0.02357	13.11752
0.0236	11.79676
0.02363	18.01422
0.02367	19.55122
0.0237	12.07252
0.02373	11.44754
0.02377	17.27369
0.0238	10.67439
0.02383	-2.86261
0.02387	-1.59814
0.0239	-4.26932
0.02393	1.44453
0.02397	12.0562
0.024	12.29112
0.02403	8.29868
0.02407	5.50464
0.0241	3.26645
0.02413	5.56861
0.02417	4.34764
0.0242	-0.60772
0.02423	-3.00775
0.02427	-4.59174
0.0243	-4.19493
0.02433	1.25079
0.02437	9.36787
0.0244	16.09658
0.02443	9.55896
0.02447	23.21666
0.0245	22.66057
0.02453	19.78898
0.02457	22.128
0.0246	30.47785
0.02463	37.81132
0.02467	36.76682
0.0247	32.56059
0.02473	33.91861
0.02477	23.67019
0.0248	12.67936
0.02483	23.34747
0.02487	31.72296
0.0249	28.73592
0.02493	23.29859
0.02497	16.8841
0.025	14.36951
0.02503	7.0436
0.02507	14.12586
0.0251	12.92196
0.02513	0.24477
0.02517	13.626
0.0252	18.43037
0.02523	20.51719
0.02527	18.40314
0.0253	9.58075
0.02533	3.11789
0.02537	0.31974
0.0254	2.91548
0.02543	0.59208
0.02547	0.5591
0.0255	3.15777
0.02553	17.1558
0.02557	10.78006
0.0256	13.27933
0.02563	10.32363
0.02567	5.57252
0.0257	17.05332
0.02573	6.05682
0.02577	19.02581
0.0258	15.39216
0.02583	17.30952
0.02587	11.37181
0.0259	13.43325
0.02593	17.6587
0.02597	12.17757
0.026	10.51589
0.02603	15.95632
0.02607	14.00672
0.0261	7.16896
0.02613	2.46971
0.02617	7.12542
0.0262	4.5257
0.02623	1.31704
0.02627	6.00825
0.0263	10.71663
0.02633	6.98214
0.02637	12.66359
0.0264	-2.81169
0.02643	-10.778
0.02647	-7.41978
0.0265	-5.67476
0.02653	6.07306
0.02657	2.12539
0.0266	-9.54261
0.02663	-11.34842
0.02667	-3.90835
0.0267	4.79499
0.02673	3.7209
0.02677	4.12699
0.0268	3.95021
0.02683	4.99534
0.02687	6.28775
0.0269	11.97634
0.02693	8.51476
0.02697	-3.02607
0.027	3.90491
0.02703	10.89497
0.02707	19.85263
0.0271	26.16043
0.02713	22.07126
0.02717	27.24523
0.0272	20.14442
0.02723	10.83216
0.02727	12.52723
0.0273	14.73456
0.02733	11.29898
0.02737	1.32105
0.0274	3.18739
0.02743	9.06064
0.02747	11.5911
0.0275	13.26957
0.02753	10.58046
0.02757	17.81026
0.0276	21.48858
0.02763	20.1938
0.02767	25.54705
0.0277	17.96863
0.02773	11.94014
0.02777	5.77551
0.0278	8.60871
0.02783	2.34653
0.02787	-2.45122
0.0279	1.98795
0.02793	1.9888
0.02797	-3.2537
0.028	-2.06591
0.02803	2.69773
0.02807	-0.45395
0.0281	-7.25982
0.02813	-5.10614
0.02817	-1.71332
0.0282	1.584
0.02823	-4.28836
0.02827	2.14054
0.0283	0.13183
0.02833	-2.63868
